time,rain_sum,city
2019-08-29,15.8,"NG,Abuja"
2019-08-30,9.9,"NG,Abuja"
2019-08-31,18.3,"NG,Abuja"
2019-09-01,7.4,"NG,Abuja"
2019-09-02,8.8,"NG,Abuja"
2019-09-03,11.2,"NG,Abuja"
2019-09-04,9.2,"NG,Abuja"
2019-09-05,18.3,"NG,Abuja"
2019-09-06,0.6,"NG,Abuja"
2019-09-07,0.6,"NG,Abuja"
2019-09-08,5.4,"NG,Abuja"
2019-09-09,2.1,"NG,Abuja"
2019-09-10,8.3,"NG,Abuja"
2019-09-11,19.6,"NG,Abuja"
2019-09-12,0.6,"NG,Abuja"
2019-09-13,7.0,"NG,Abuja"
2019-09-14,21.4,"NG,Abuja"
2019-09-15,13.5,"NG,Abuja"
2019-09-16,1.5,"NG,Abuja"
2019-09-17,5.6,"NG,Abuja"
2019-09-18,1.8,"NG,Abuja"
2019-09-19,5.7,"NG,Abuja"
2019-09-20,0.8,"NG,Abuja"
2019-09-21,2.5,"NG,Abuja"
2019-09-22,0.0,"NG,Abuja"
2019-09-23,2.0,"NG,Abuja"
2019-09-24,3.8,"NG,Abuja"
2019-09-25,10.7,"NG,Abuja"
2019-09-26,1.5,"NG,Abuja"
2019-09-27,3.4,"NG,Abuja"
2019-09-28,1.0,"NG,Abuja"
2019-09-29,7.0,"NG,Abuja"
2019-09-30,25.4,"NG,Abuja"
2019-10-01,1.2,"NG,Abuja"
2019-10-02,0.8,"NG,Abuja"
2019-10-03,3.7,"NG,Abuja"
2019-10-04,2.3,"NG,Abuja"
2019-10-05,0.8,"NG,Abuja"
2019-10-06,12.1,"NG,Abuja"
2019-10-07,9.6,"NG,Abuja"
2019-10-08,8.7,"NG,Abuja"
2019-10-09,3.8,"NG,Abuja"
2019-10-10,5.2,"NG,Abuja"
2019-10-11,8.6,"NG,Abuja"
2019-10-12,1.2,"NG,Abuja"
2019-10-13,0.1,"NG,Abuja"
2019-10-14,9.7,"NG,Abuja"
2019-10-15,13.1,"NG,Abuja"
2019-10-16,11.4,"NG,Abuja"
2019-10-17,11.6,"NG,Abuja"
2019-10-18,4.3,"NG,Abuja"
2019-10-19,12.0,"NG,Abuja"
2019-10-20,2.4,"NG,Abuja"
